detector,stream,learner,drift_type,params,fp,tp,fn,precision,recall,ep_recall,f1,mdt,fa_1k,alarms_per_1k,n_episodes,n_alarms
CUSUM,SEA,HoeffdingTree,ABRUPT,"{'min_n_instances': 2000, 'lambda_': 500, 'delta': 0.01}",2,1,29,0.3333333333333333,0.03333333333333333,0.03333333333333333,0.0606060606060606,-473.0,0.006665977848955607,0.00999896677343341,30,3
CUSUM,Agrawal,HoeffdingTree,ABRUPT,"{'min_n_instances': 2000, 'lambda_': 500, 'delta': 0.01}",5,1,29,0.16666666666666666,0.03333333333333333,0.03333333333333333,0.05555555555555555,802.0,0.01666494462238902,0.01999793354686682,30,6
CUSUM,STAGGER,HoeffdingTree,ABRUPT,"{'min_n_instances': 2000, 'lambda_': 500, 'delta': 0.01}",12,5,25,0.29411764705882354,0.16666666666666666,0.16666666666666666,0.21276595744680848,-418.4,0.03999586709373364,0.05666081171612267,30,17
CUSUM,SEA,HoeffdingTree,ABRUPT,"{'min_n_instances': 50, 'lambda_': 500, 'delta': 0.001}",3,0,30,0.0,0.0,0.0,0.0,,0.00999896677343341,0.00999896677343341,30,3
CUSUM,Agrawal,HoeffdingTree,ABRUPT,"{'min_n_instances': 50, 'lambda_': 500, 'delta': 0.001}",5,1,29,0.16666666666666666,0.03333333333333333,0.03333333333333333,0.05555555555555555,489.0,0.01666494462238902,0.01999793354686682,30,6
CUSUM,STAGGER,HoeffdingTree,ABRUPT,"{'min_n_instances': 50, 'lambda_': 500, 'delta': 0.001}",13,4,26,0.23529411764705882,0.13333333333333333,0.13333333333333333,0.1702127659574468,-427.5,0.04332885601821145,0.05666081171612267,30,17
CUSUM,SEA,HoeffdingTree,ABRUPT,"{'min_n_instances': 50, 'lambda_': 500, 'delta': 0.01}",2,1,29,0.3333333333333333,0.03333333333333333,0.03333333333333333,0.0606060606060606,-473.0,0.006665977848955607,0.00999896677343341,30,3
CUSUM,Agrawal,HoeffdingTree,ABRUPT,"{'min_n_instances': 50, 'lambda_': 500, 'delta': 0.01}",5,1,29,0.16666666666666666,0.03333333333333333,0.03333333333333333,0.05555555555555555,802.0,0.01666494462238902,0.01999793354686682,30,6
CUSUM,STAGGER,HoeffdingTree,ABRUPT,"{'min_n_instances': 50, 'lambda_': 500, 'delta': 0.01}",12,5,25,0.29411764705882354,0.16666666666666666,0.16666666666666666,0.21276595744680848,-418.4,0.03999586709373364,0.05666081171612267,30,17
CUSUM,SEA,HoeffdingTree,ABRUPT,"{'min_n_instances': 100, 'lambda_': 1000, 'delta': 0.0001}",0,0,30,0.0,0.0,0.0,0.0,,0.0,0.0,30,0
